fecha_objetivo,hora_decision,pico_pred,pico_real,error_c
2026-06-17,8,28.6,27.0,1.6
2026-06-17,9,26.5,27.0,-0.5
2026-06-17,12,27.1,27.0,0.1
2026-06-17,15,27.1,27.0,0.1
2026-06-18,8,29.9,32.0,-2.1
2026-06-18,9,29.9,32.0,-2.1
2026-06-18,12,30.0,32.0,-2.0
2026-06-18,16,30.5,32.0,-1.5
2026-06-19,6,32.1,32.0,0.1
2026-06-19,7,32.1,32.0,0.1
2026-06-19,8,32.2,32.0,0.2
2026-06-19,9,31.9,32.0,-0.1
2026-06-19,10,31.9,32.0,-0.1
2026-06-19,11,31.9,32.0,-0.1
2026-06-19,12,31.8,32.0,-0.2
2026-06-19,13,31.9,32.0,-0.1
2026-06-19,14,32.9,32.0,0.9
2026-06-19,15,32.9,32.0,0.9
2026-06-19,16,32.9,32.0,0.9
2026-06-20,6,30.8,33.0,-2.2
2026-06-20,7,30.8,33.0,-2.2
2026-06-20,8,30.8,33.0,-2.2
2026-06-20,9,30.7,33.0,-2.3
2026-06-20,10,30.8,33.0,-2.2
2026-06-20,11,30.7,33.0,-2.3
2026-06-20,12,30.7,33.0,-2.3
2026-06-20,13,30.7,33.0,-2.3
2026-06-20,14,31.9,33.0,-1.1
2026-06-20,15,31.9,33.0,-1.1
2026-06-20,16,31.6,33.0,-1.4
2026-06-21,6,30.6,32.0,-1.4
2026-06-21,7,30.6,32.0,-1.4
2026-06-21,8,31.9,32.0,-0.1
2026-06-21,9,31.9,32.0,-0.1
2026-06-21,10,31.9,32.0,-0.1
2026-06-21,11,31.9,32.0,-0.1
2026-06-21,12,31.9,32.0,-0.1
2026-06-21,13,31.9,32.0,-0.1
2026-06-21,14,31.5,32.0,-0.5
2026-06-21,15,31.4,32.0,-0.6
2026-06-21,16,31.4,32.0,-0.6
2026-06-22,6,31.9,30.0,1.9
2026-06-22,7,31.9,30.0,1.9
2026-06-22,8,31.9,30.0,1.9
2026-06-22,9,31.4,30.0,1.4
2026-06-22,10,31.4,30.0,1.4
2026-06-22,11,31.4,30.0,1.4
2026-06-22,12,31.4,30.0,1.4
2026-06-22,13,31.4,30.0,1.4
2026-06-22,14,30.4,30.0,0.4
2026-06-22,15,30.4,30.0,0.4
2026-06-22,16,30.4,30.0,0.4
2026-06-23,6,32.0,30.0,2.0
2026-06-23,7,32.0,30.0,2.0
2026-06-23,8,32.0,30.0,2.0
2026-06-23,9,32.0,30.0,2.0
2026-06-23,10,29.9,30.0,-0.1
2026-06-23,11,30.0,30.0,0.0
2026-06-23,12,29.9,30.0,-0.1
2026-06-23,13,29.9,30.0,-0.1
2026-06-23,14,30.6,30.0,0.6
2026-06-23,15,30.6,30.0,0.6
2026-06-23,16,30.6,30.0,0.6
2026-06-24,6,32.6,33.0,-0.4
2026-06-24,7,32.5,33.0,-0.5
2026-06-24,8,32.6,33.0,-0.4
2026-06-24,9,32.6,33.0,-0.4
2026-06-24,10,32.5,33.0,-0.5
2026-06-24,11,32.5,33.0,-0.5
2026-06-24,12,32.5,33.0,-0.5
2026-06-24,13,32.6,33.0,-0.4
2026-06-24,14,32.5,33.0,-0.5
2026-06-24,15,33.1,33.0,0.1
2026-06-24,16,33.1,33.0,0.1
2026-06-25,6,32.5,32.0,0.5
2026-06-25,7,32.6,32.0,0.6
2026-06-25,8,33.0,32.0,1.0
2026-06-25,9,33.0,32.0,1.0
2026-06-25,10,33.0,32.0,1.0
2026-06-25,11,33.0,32.0,1.0
2026-06-25,12,32.9,32.0,0.9
2026-06-25,13,33.0,32.0,1.0
2026-06-25,14,33.0,32.0,1.0
2026-06-25,15,33.0,32.0,1.0
2026-06-25,16,32.9,32.0,0.9
2026-06-26,6,31.1,30.0,1.1
2026-06-26,7,31.1,30.0,1.1
2026-06-26,8,31.0,30.0,1.0
2026-06-26,9,31.0,30.0,1.0
2026-06-26,10,31.0,30.0,1.0
2026-06-26,11,31.0,30.0,1.0
2026-06-26,12,31.0,30.0,1.0
2026-06-26,13,31.1,30.0,1.1
2026-06-26,14,31.1,30.0,1.1
2026-06-26,15,31.4,30.0,1.4
2026-06-26,16,31.4,30.0,1.4
2026-06-27,6,34.0,35.0,-1.0
2026-06-27,7,33.9,35.0,-1.1
2026-06-27,8,33.9,35.0,-1.1
2026-06-27,9,34.0,35.0,-1.0
2026-06-27,10,34.0,35.0,-1.0
2026-06-27,11,33.9,35.0,-1.1
2026-06-27,12,34.0,35.0,-1.0
2026-06-27,13,34.0,35.0,-1.0
2026-06-27,14,34.0,35.0,-1.0
2026-06-27,15,34.0,35.0,-1.0
2026-06-27,16,34.0,35.0,-1.0
2026-06-28,6,32.5,33.0,-0.5
2026-06-28,7,32.5,33.0,-0.5
2026-06-28,8,32.5,33.0,-0.5
2026-06-28,9,32.5,33.0,-0.5
2026-06-28,10,32.5,33.0,-0.5
2026-06-28,11,32.5,33.0,-0.5
2026-06-28,12,32.5,33.0,-0.5
2026-06-28,13,32.5,33.0,-0.5
2026-06-28,14,32.5,33.0,-0.5
2026-06-28,15,32.5,33.0,-0.5
2026-06-28,16,32.3,33.0,-0.7
2026-06-29,6,32.9,34.0,-1.1
2026-06-29,7,33.0,34.0,-1.0
2026-06-29,8,33.0,34.0,-1.0
2026-06-29,9,33.0,34.0,-1.0
2026-06-29,10,33.0,34.0,-1.0
2026-06-29,11,33.0,34.0,-1.0
2026-06-29,12,33.0,34.0,-1.0
2026-06-29,13,33.0,34.0,-1.0
2026-06-29,14,33.0,34.0,-1.0
2026-06-29,15,33.0,34.0,-1.0
2026-06-29,16,34.1,34.0,0.1
2026-06-30,6,34.1,35.0,-0.9
2026-06-30,7,34.1,35.0,-0.9
2026-06-30,8,33.9,35.0,-1.1
2026-06-30,9,33.9,35.0,-1.1
2026-06-30,10,34.1,35.0,-0.9
2026-06-30,11,33.9,35.0,-1.1
2026-06-30,12,33.9,35.0,-1.1
2026-06-30,13,34.1,35.0,-0.9
2026-06-30,14,34.0,35.0,-1.0
2026-06-30,15,34.1,35.0,-0.9
2026-06-30,16,34.1,35.0,-0.9
2026-07-01,6,33.1,34.0,-0.9
2026-07-01,7,33.0,34.0,-1.0
2026-07-01,8,33.0,34.0,-1.0
2026-07-01,9,32.9,34.0,-1.1
2026-07-01,10,32.9,34.0,-1.1
2026-07-01,11,33.0,34.0,-1.0
2026-07-01,12,33.0,34.0,-1.0
2026-07-01,13,33.0,34.0,-1.0
2026-07-01,14,33.0,34.0,-1.0
2026-07-01,15,33.0,34.0,-1.0
2026-07-01,16,33.2,34.0,-0.8
2026-07-02,6,32.5,34.0,-1.5
2026-07-02,7,32.5,34.0,-1.5
2026-07-02,8,33.1,34.0,-0.9
2026-07-02,9,33.2,34.0,-0.8
2026-07-02,10,33.0,34.0,-1.0
2026-07-02,11,33.0,34.0,-1.0
2026-07-02,12,33.0,34.0,-1.0
2026-07-02,13,33.2,34.0,-0.8
2026-07-02,14,33.2,34.0,-0.8
2026-07-02,15,33.2,34.0,-0.8
2026-07-02,16,33.2,34.0,-0.8
